user,nice,system,iowait,steal,idle,Concurrency,time,apache 
7.02,0,57.27,4.95,0,30.76,5,121,6
7.71,0,56.99,5.2,0,30.09,5,122,6
5.94,0,54,10.31,0,29.75,5,123,6
5.82,0,57.17,9.96,0,27.05,5,124,6
6.03,0,57.1,6.91,0,29.96,5,125,6
5.92,0,57.07,9.03,0,27.98,5,126,6
5.92,0,57.12,7.18,0,29.79,5,127,6
7.17,0,53.99,11.47,0,27.37,5,128,6
5.96,0,57.05,4.76,0,32.23,5,129,6
6.07,0,57.17,5.45,0,31.31,5,130,6
9.98,0,57.52,5.68,0,26.82,5,131,6
8.34,0,57.62,5.58,0,28.46,5,132,6
7.84,0,54.86,7.27,0,30.03,5,133,6
6.91,0,57.06,8.73,0,27.31,5,134,6
6.69,0,54.12,4.44,0,34.75,5,135,6
4.73,0,50.44,4.92,0,39.91,5,136,6
5.05,0,42.93,5.18,0,46.84,5,137,6
6.18,0,50.75,11.61,0,31.46,5,138,6
4.69,0,45.09,10.84,0,39.38,5,139,6
5.32,0,49.44,14.46,0,30.79,5,140,6
5.05,0,47.19,17.03,0,30.73,5,141,6
4.44,0.06,48.22,13.7,0,33.58,5,142,6
5.16,0.06,49.59,13.66,0,31.53,5,143,6
5.2,0.06,49.97,9.4,0,35.36,5,144,6
4.85,0,48.83,12.67,0,33.65,5,145,6
4.51,0,43.93,9.89,0,41.68,5,146,6
4.11,0,43.24,4.55,0,48.1,5,147,6
4.31,0,39.4,8.25,0,48.03,5,148,6
7.21,0,51.44,10.6,0,30.74,5,149,6
3.94,0,42.54,7.05,0,46.48,5,150,6
5.49,0,45.15,6.94,0,42.43,5,151,6
6.36,0,53.49,8.56,0,31.59,5,152,6
6.03,0,51.41,6.47,0,36.1,5,153,6
5.79,0,47.67,10.44,0,36.1,5,154,6
6.43,0,53.56,7.56,0,32.45,5,155,6
6.18,0,51.94,5.49,0,36.39,5,156,6
6.2,0,53.01,6.52,0,34.27,5,157,6
6.66,0,51.76,6.6,0,34.99,5,158,6
4.92,0,47.1,7.77,0,40.21,5,159,6
5.95,0,49.22,9.2,0,35.63,5,160,6
6.69,0,55.97,5.88,0,31.46,5,161,6
5.52,0,53.3,6.53,0,34.65,5,162,6
5.38,0,49.81,9.89,0,34.92,5,163,6
7.3,0,56.96,6.05,0,29.69,5,164,6
5.28,0,54.75,9.43,0,30.55,5,165,6
5.38,0,56.01,9.89,0,28.72,5,166,6
5.31,0,56.56,11.88,0,26.25,5,167,6
5.14,0,49.19,7.46,0,38.22,5,168,6
5.52,0,54.27,8.22,0,31.99,5,169,6
4.66,0,47.04,8.63,0,39.67,5,170,6
4.28,0,44.87,14.29,0,36.56,5,171,6
4.71,0,49.5,11.75,0,34.05,5,172,6
8.01,0,45.68,14.77,0,31.54,5,173,6
8.43,0,39.32,12.24,0,40.01,5,174,6
4.58,0,42.56,12.99,0,39.86,5,175,6
5.64,0,41.19,11.72,0,41.44,5,176,6
4.28,0,43.48,8.07,0,44.17,5,177,6
4.48,0,44.64,11.48,0,39.41,5,178,6
3.73,0,39.7,6.51,0,50.06,5,179,6
3.99,0,40.51,7.28,0,48.23,5,180,6
4.03,0,45.91,7.11,0,42.96,5,181,6
4.28,0,40.96,7.18,0,47.57,5,182,6
4.24,0,42.91,5,0,47.85,5,183,6
5.45,0,50.97,5.13,0,38.45,5,184,6
4.56,0,49.38,5.31,0,40.75,5,185,6
5.09,0,55.4,6.28,0,33.23,5,186,6
5.92,0,56.98,6.05,0,31.05,5,187,6
5.82,0,57.07,6.07,0,31.04,5,188,6
5.26,0,54.82,6.14,0,33.77,5,189,6
4.57,0,50.34,7.13,0,37.96,5,190,6
5.31,0,52.69,7.12,0,34.88,5,191,6
5.59,0,56.97,5.15,0,32.29,5,192,6
5.44,0,57.32,4.63,0,32.6,5,193,6
5.5,0,57.31,5.88,0,31.31,5,194,6
5.87,0,56.96,6.62,0,30.54,5,195,6
5.3,0,56.23,7.11,0,31.36,5,196,6
5.07,0,57.51,5.76,0,31.66,5,197,6
5.69,0,57.22,5.69,0,31.39,5,198,6
5.25,0,57.34,4.87,0,32.54,5,199,6
5.34,0,57.45,4.65,0,32.56,5,200,6
5.24,0,51.72,5.36,0,37.68,5,201,6
5.61,0,57.21,8.11,0,29.07,5,202,6
5.62,0,57.15,7.87,0,29.36,5,203,6
5.76,0,56.98,5.45,0,31.81,5,204,6
5.38,0,57.29,4.25,0,33.08,5,205,6
5.18,0,53.84,5.68,0,35.29,5,206,6
5.55,0,57.32,6.04,0,31.09,5,207,6
5.64,0,57.02,6.14,0,31.2,5,208,6
5.89,0,56.86,5.51,0,31.75,5,209,6
5.32,0,57.45,5.76,0,31.48,5,210,6
5.36,0,55.11,4.3,0,35.22,5,211,6
5.64,0,57.23,5.95,0,31.18,5,212,6
5.12,0,57.75,4.38,0,32.75,5,213,6
5.88,0,56.88,4.38,0,32.85,5,214,6
5.31,0,57.38,1.56,0,35.75,5,215,6
5.68,0,53.97,4.93,0,35.42,5,216,6
5.99,0,56.83,4.74,0,32.44,5,217,6
5.58,0,57.14,5.83,0,31.45,5,218,6
5.24,0,57.54,5.42,0,31.8,5,219,6
5.22,0,57.39,4.84,0,32.56,5,220,6
5.5,0,52.62,8,0,33.88,5,221,6
5.88,0,56.69,6.12,0,31.31,5,222,6
5.38,0,57.25,5.94,0,31.44,5,223,6
5.62,0,57.19,5.88,0,31.31,5,224,6
5.71,0,57,5.21,0,32.08,5,225,6
5.18,0,54.49,10.17,0,30.15,5,226,6
5.69,0,57.38,6,0,30.94,5,227,6
5.63,0,57.22,5.82,0,31.33,5,228,6
5.51,0,57.32,2,0,35.17,5,229,6
